[00:00:00.000007177] (+?.?????????) init: { row = 35, col = 9 }, { }
[00:00:00.001392012] (+0.000000648) epiphanious: { row = 32, col = 9 }, { sum = 153 }
[00:00:00.001392660] (+0.000000648) epiphanious: { row = 32, col = 10 }, { sum = 153 }
[00:00:00.001392715] (+0.000000055) epiphanious: { row = 34, col = 8 }, { sum = 136 }
[00:00:00.001393308] (+0.000000593) epiphanious: { row = 32, col = 11 }, { sum = 153 }
[00:00:00.001393327] (+0.000000019) epiphanious: { row = 34, col = 9 }, { sum = 136 }
[00:00:00.001393939] (+0.000000612) epiphanious: { row = 34, col = 10 }, { sum = 136 }
[00:00:00.001394551] (+0.000000612) epiphanious: { row = 34, col = 11 }, { sum = 136 }
[00:00:00.001431883] (+0.000037332) epiphanious: { row = 35, col = 8 }, { sum = 136 }
[00:00:00.001432495] (+0.000000612) epiphanious: { row = 35, col = 9 }, { sum = 136 }
[00:00:00.001432836] (+0.000000341) epiphanious: { row = 33, col = 8 }, { sum = 153 }
[00:00:00.001433107] (+0.000000271) epiphanious: { row = 35, col = 10 }, { sum = 136 }
[00:00:00.001433484] (+0.000000377) epiphanious: { row = 33, col = 9 }, { sum = 153 }
[00:00:00.001433719] (+0.000000235) epiphanious: { row = 35, col = 11 }, { sum = 136 }
[00:00:00.001434132] (+0.000000413) epiphanious: { row = 33, col = 10 }, { sum = 153 }
[00:00:00.001434780] (+0.000000648) epiphanious: { row = 33, col = 11 }, { sum = 153 }
